RA ,DEC ,D ,AbsBMag
186.3246 , 26.7147 ,   12.80 ,   -15.5
157.2767 , 26.9106 ,   21.50 ,   -12.7
181.2158 , 26.9925 ,   15.00 ,   -17.5
155.9375 , 27.1108 ,   13.50 ,   -14.2
 26.8754 , 27.3311 ,    7.20 ,   -17.8
 26.9717 , 27.4336 ,    7.20 ,   -18.8
158.0712 , 27.6686 ,    7.98 ,   -16.7
 41.6621 , 27.7264 ,    8.56 ,   -13.1
186.5975 , 27.7456 ,   14.00 ,   -14.4
 33.5154 , 27.8772 ,    9.73 ,   -17.0
132.8004 , 27.8800 ,    6.10 ,   -11.9
188.9904 , 27.9597 ,    8.10 ,   -19.8
181.3925 , 28.2322 ,    6.74 ,   -12.5
178.8479 , 28.3400 ,    7.45 ,   -13.1
192.6133 , 28.3528 ,   20.40 ,   -15.4
181.3471 , 28.3656 ,    6.69 ,   -14.0
191.1587 , 28.4725 ,    9.90 ,   -15.2
124.8354 , 50.0097 ,   12.40 ,   -18.1
150.1062 , 50.3792 ,    7.97 ,   -12.5
120.4717 , 50.7372 ,   12.40 ,   -18.5
139.8921 , 51.1092 ,   20.60 ,   -16.6
116.8838 , 51.1914 ,    7.10 ,   -14.8
183.8483 , 51.3500 ,   12.90 ,   -16.0
142.2067 , 51.5606 ,   19.68 ,   -15.6
191.7350 , 51.6131 ,    8.90 ,   -15.2
140.8208 , 51.9731 ,    7.35 ,   -13.2
181.0100 , 52.5886 ,    4.31 ,   -15.1
139.0092 , 52.8400 ,    1.36 ,   -11.9
186.7192 , 53.1053 ,    5.35 ,   -12.6
168.3587 , 53.5950 ,    9.90 ,   -14.4
211.2587 , 53.6631 ,    7.20 ,   -17.9
208.6879 , 53.9047 ,    7.21 ,   -15.6
210.8033 , 54.3506 ,    7.38 ,   -21.1
211.3879 , 54.4608 ,    7.70 ,   -15.3
173.9525 , 54.5228 ,    4.90 ,   -16.7
167.8792 , 55.6739 ,    9.90 ,   -20.2
214.9512 , 56.7303 ,    5.70 ,   -17.8
312.7904 , 56.8900 ,    6.00 ,   -17.6
218.8525 , 57.2567 ,    8.02 ,   -15.1
315.8508 , 57.2872 ,    5.89 ,   -17.0
186.5337 , 58.3225 ,   10.50 ,   -15.7
202.4017 , 58.4178 ,    4.66 ,   -16.8
 44.2338 , 58.9117 ,    2.80 ,   -18.8
 40.4771 , 59.6031 ,    2.80 ,   -20.1
308.7129 , 60.1542 ,    5.89 ,   -20.8
190.0012 , 61.6081 ,    5.47 ,   -18.1
 78.5629 , 62.5808 ,    3.15 ,   -16.8
289.1742 , 63.9728 ,    3.63 ,   -14.3
153.2017 , 64.1075 ,    3.70 ,   -12.3
 67.7046 , 64.8481 ,    3.06 ,   -18.1
114.2142 , 65.5994 ,    3.18 ,   -19.2
149.7021 , 66.8497 ,    4.04 ,   -12.3
 59.9562 , 67.1253 ,    2.96 ,   -17.9
196.6117 , 67.7042 ,    4.57 ,   -15.1
146.8150 , 67.9136 ,    3.56 ,   -17.1
 56.7037 , 68.0958 ,    3.28 ,   -20.7
141.3004 , 68.3831 ,    8.24 ,   -14.9
157.0933 , 68.4161 ,    4.02 ,   -17.5
150.8375 , 68.7339 ,    3.82 ,   -17.6
148.8896 , 69.0667 ,    3.63 ,   -20.9
139.8275 , 69.2033 ,    7.48 ,   -18.5
184.1804 , 69.4656 ,    4.45 ,   -18.6
148.9746 , 69.6825 ,    3.53 ,   -19.6
 30.3200 , 28.8436 ,    4.97 ,   -16.5
185.8083 , 28.8939 ,   24.40 ,   -17.3
166.2438 , 29.1394 ,    8.02 ,   -14.0
151.1708 , 29.3664 ,    7.11 ,   -14.5
183.3446 , 29.9217 ,   17.30 ,   -15.7
182.3237 , 29.9275 ,    7.90 ,   -17.9
 23.4617 , 30.6603 ,    0.85 ,   -18.8
354.5604 , 30.7092 ,   12.20 ,   -16.0
181.3162 , 30.8556 ,   12.70 ,   -15.6
182.2992 , 30.9067 ,   16.80 ,   -14.6
180.0675 , 31.2250 ,   23.20 ,   -17.0
181.6438 , 31.3425 ,    7.43 ,   -13.6
178.9142 , 31.5194 ,   16.60 ,   -16.4
181.9583 , 31.5522 ,    7.37 ,   -11.9
188.2783 , 32.0917 ,   10.10 ,   -16.0
190.9900 , 32.1703 ,    5.40 ,   -18.2
184.3833 , 32.5325 ,    5.93 ,   -10.7
190.5333 , 32.5414 ,    7.38 ,   -20.3
 27.3846 , 32.5925 ,    4.94 ,   -16.1
191.7525 , 32.6514 ,   23.40 ,   -15.1
162.8363 , 32.7664 ,   12.02 ,   -17.5
180.7954 , 32.9561 ,    7.55 ,   -12.8
136.8954 , 33.2767 ,   20.30 ,   -17.3
133.1704 , 33.4172 ,    7.73 ,   -20.4
 38.3258 , 33.4911 ,    9.30 ,   -16.3
186.4575 , 33.5461 ,    4.61 ,   -17.8
 36.8167 , 33.5781 ,    9.29 ,   -19.9
141.5392 , 33.7178 ,   19.70 ,   -13.8
160.6746 , 34.4489 ,    8.11 ,   -15.9
194.7583 , 34.8603 ,    7.30 ,   -16.5
188.5229 , 35.5183 ,    9.80 ,   -16.9
183.7625 , 35.9586 ,    8.80 ,   -15.5
183.0371 , 36.1694 ,    2.94 ,   -13.8
183.9121 , 36.3275 ,    2.94 ,   -17.2
159.0733 , 36.4253 ,    8.10 ,   -12.6
182.4850 , 36.4353 ,    4.83 ,   -13.0
163.1296 , 36.6189 ,    9.20 ,   -19.0
183.4358 , 36.6333 ,    2.82 ,   -13.9
219.7725 , 36.8061 ,    9.20 ,   -13.5
196.4554 , 37.6058 ,    4.70 ,   -16.4
188.2000 , 37.6217 ,   14.50 ,   -18.0
184.3746 , 37.8075 ,    4.49 ,   -18.2
199.2704 , 37.9525 ,    5.04 ,   -13.0
185.2287 , 38.4303 ,    8.03 ,   -14.2
191.8858 ,-77.5836 ,    3.16 ,   -12.7
 50.2625 ,-66.3197 ,    3.98 ,   -11.8
283.9217 ,-64.8108 ,    6.70 ,   -13.9
287.8462 ,-64.2192 ,    8.30 ,   -14.8
286.7454 ,-63.9658 ,    8.30 ,   -12.1
288.0954 ,-63.8561 ,    8.30 ,   -11.9
287.1833 ,-63.7314 ,    8.30 ,   -14.7
220.4279 ,-62.7672 ,    6.02 ,   -14.1
106.3213 ,-58.5206 ,    4.90 ,   -14.0
 94.0383 ,-57.7653 ,    6.00 ,   -12.1
 93.9771 ,-57.7264 ,    6.05 ,   -13.8
206.9904 ,-53.3511 ,    3.60 ,   -15.7
358.0117 ,-52.5775 ,    5.90 ,   -13.9
231.5954 ,-51.1753 ,    5.68 ,    -9.3
218.7625 ,-49.4217 ,    5.80 ,   -13.6
 44.5171 ,-49.3825 ,    6.56 ,   -12.7
335.6254 ,-48.4050 ,    7.80 ,   -14.8
225.2854 ,-48.2925 ,    6.49 ,   -16.4
164.3758 ,-48.1789 ,    5.25 ,   -13.5
146.3533 ,-48.1414 ,   14.90 ,   -16.1
207.8417 ,-47.0000 ,    5.73 ,   -11.9
207.1933 ,-46.9969 ,    3.98 ,   -11.3
195.8900 ,-46.5842 ,    3.48 ,   -12.0
217.0154 ,-46.3017 ,    3.58 ,   -13.1
335.9292 ,-45.8822 ,    8.80 ,   -13.4
201.8671 ,-45.3525 ,    3.60 ,   -10.5
 53.9867 ,-45.1914 ,    7.98 ,   -13.4
200.4462 ,-45.0633 ,    3.98 ,   -12.2
220.8562 ,-44.7053 ,    5.88 ,   -14.8
 27.7763 ,-44.4447 ,    0.44 ,    -9.6
191.0896 ,-42.9397 ,    3.60 ,   -10.9
 74.2446 ,-42.8039 ,    7.20 ,   -14.9
206.2533 ,-41.8589 ,    3.40 ,   -14.0
  6.6387 ,-41.8556 ,    1.92 ,   -10.9
 99.8871 ,-40.7203 ,    7.65 ,   -13.7
196.2621 ,-40.0828 ,    5.78 ,   -12.9
 47.5438 ,-40.0031 ,    8.80 ,   -14.2
204.3546 ,-39.8978 ,    4.83 ,   -12.2
174.4725 ,-39.2206 ,    6.08 ,   -13.7
183.4567 ,-38.2314 ,    3.18 ,   -12.7
 17.0917 ,-38.2092 ,    8.20 ,   -13.4
207.1413 ,-37.9675 ,    5.75 ,   -11.5
357.3475 ,-37.7736 ,   11.50 ,   -15.6
353.7671 ,-37.2206 ,    7.80 ,   -12.9
160.8629 ,-37.0425 ,    7.10 ,   -14.0
136.5000 ,-36.0600 ,    7.93 ,   -13.9
191.1779 ,-35.9667 ,    5.32 ,   -13.2
181.2363 ,-35.7431 ,    4.88 ,   -12.2
  2.0554 ,-34.5783 ,    3.21 ,   -11.9
191.5017 ,-33.8381 ,    5.45 ,   -14.5
150.3900 , -6.5250 ,    9.70 ,   -14.0
148.7937 , -6.2700 ,    9.70 ,   -15.0
193.3817 , -5.9278 ,   10.40 ,   -13.2
194.7067 , -4.8886 ,    6.50 ,   -13.9
152.7533 , -4.6928 ,    1.32 ,   -13.9
105.1221 , -4.2083 ,    1.67 ,   -12.8
166.3958 , -1.8636 ,   10.70 ,   -13.9
166.5321 , -1.4486 ,   10.70 ,   -12.2
188.2833 , -0.5331 ,    8.11 ,   -13.2
145.1125 ,  0.0425 ,   10.00 ,   -13.1
166.1692 ,  0.0583 ,   10.70 ,   -12.8
155.4121 ,  0.9000 ,    6.78 ,   -11.9
 16.1992 ,  2.1333 ,    0.73 ,   -14.5
186.4221 ,  2.1589 ,   10.60 ,   -15.0
192.4458 ,  3.8422 ,    9.40 ,   -13.9
159.7421 ,  3.8742 ,   26.20 ,   -12.6
208.6400 ,  4.2431 ,    2.59 ,   -10.3
160.0446 ,  4.9089 ,   20.90 ,   -11.7
137.1525 ,  5.2922 ,    5.60 ,   -11.9
150.0004 ,  5.3322 ,    1.36 ,   -14.0
183.6467 ,  5.6772 ,    8.20 ,   -13.5
185.6604 ,  6.0144 ,    9.60 ,   -14.2
157.6846 ,  6.1272 ,    7.80 ,   -12.8
184.9754 ,  6.6658 ,    4.71 ,   -11.7
190.0433 ,  6.8469 ,    8.10 ,   -13.2
 89.4029 ,  7.4919 ,    5.50 ,   -12.9
117.5904 ,  7.7944 ,    6.00 ,   -11.0
187.5042 ,  7.9294 ,    5.20 ,   -13.8
 97.5375 ,  8.3769 ,    3.55 ,     0.0
187.1413 ,  8.6397 ,    4.60 ,   -13.5
183.9842 ,  9.6492 ,    9.40 ,   -13.3
114.0429 ,  9.9864 ,    6.10 ,   -11.2
191.5637 , 10.2033 ,    7.40 ,   -13.7
163.2529 , 10.3792 ,   10.40 ,   -11.9
108.4658 , 10.5219 ,    7.41 ,   -15.7
162.4046 , 11.3517 ,   10.40 ,   -12.2
158.7337 , 11.4922 ,   10.40 ,   -12.7
161.0325 , 11.5331 ,   10.40 ,   -11.7
166.1104 , 11.7550 ,   10.40 ,   -14.0
161.2400 , 11.9161 ,   10.40 ,   -12.8
194.1808 , 11.9311 ,    6.49 ,   -13.2
164.0583 , 12.0103 ,   10.40 ,   -13.3
160.9808 , 12.1353 ,   10.40 ,   -11.0
163.9879 , 12.3389 ,   10.40 ,   -11.8
159.9304 , 12.6344 ,   10.40 ,   -13.4
168.6875 , 12.6475 ,   11.00 ,   -13.6
159.9175 , 12.7350 ,   10.40 ,   -11.5
161.7221 , 12.7444 ,   10.40 ,   -11.3
161.7533 , 12.9597 ,   10.40 ,   -11.6
161.7388 , 12.9983 ,   10.40 ,   -12.7
169.2542 , 13.0997 ,   10.30 ,   -14.0
162.5379 , 13.4836 ,   10.40 ,   -11.1
178.6792 ,-33.5581 ,    5.22 ,   -12.3
217.5208 ,-33.4792 ,    9.00 ,   -11.7
204.2525 ,-33.3631 ,    4.37 ,   -11.1
143.1892 ,-33.2456 ,    8.30 ,   -13.8
173.2958 ,-32.9619 ,    6.70 ,   -13.1
351.6146 ,-32.3906 ,    2.18 ,   -12.9
  3.8808 ,-32.1800 ,    1.92 ,   -11.6
200.3850 ,-31.8864 ,    4.60 ,   -10.5
300.9892 ,-31.6817 ,    7.83 ,   -13.7
172.8967 ,-31.6722 ,    6.70 ,   -12.4
200.2842 ,-31.5297 ,    5.22 ,   -11.8
201.1500 ,-30.9722 ,    4.63 ,   -12.0
201.6850 ,-30.3625 ,    4.97 ,   -14.3
204.1283 ,-29.2364 ,    5.25 ,   -13.3
